timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583796108796,65,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,220,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,64,0,43
1583796108872,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,220,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,5,0,1
1583796108877,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,220,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,4,0,1
1583796108882,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,220,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,3,0,0
1583796108886,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,220,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f/abcd/mai,4,0,0
1583796108890,5,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,5,0,1
1583796108896,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796108900,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,1
1583796108905,3,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,3,0,0
1583796108909,4,AutomationPerformanceTest,405,,AutomationThreadGroup 1-1,text,false, ,345,248,1,1,http://localhost:8086/peripherals/fedexoffice/v1/claims/9a92676f-fbfe-43ad-8a28-3a16f16aca7b/abcd/mai,4,0,0
